"placard-pseudo href","image-hide src","header-col","subtitle-alpha","subtitle-alpha href","subtitle-beta","subtitle-beta href","data-points-2c","data-points-2c 2","data-points-2c 3","company-logo src"
"https://www.loopnet.com/Listing/4898-El-Camino-Real-Los-Altos-CA/38468890/","https://images1.loopnet.com/i2/Ncn5vYziANahd4-FRcLw3aMiS7eYdCrX1EQlN29A0AU/115/land-property-for-sale-4898-el-camino-real-los-altos-ca-94022.jpg","4898 El Camino Real","Entitled-8 Story, 85 Unit Condo","https://www.loopnet.com/Listing/4898-El-Camino-Real-Los-Altos-CA/38468890/","Los Altos, CA 94022","https://www.loopnet.com/Listing/4898-El-Camino-Real-Los-Altos-CA/38468890/","$25,000,000","1 Residential Income Lot","0.43 AC Lot",""
"https://www.loopnet.com/Listing/628-Waverley-St-Palo-Alto-CA/38441348/","https://images1.loopnet.com/i2/ut8cIHYpfwmh9rvaa7MadT8zqtiYd3hfrKTSrf5kHeA/115/multifamily-property-for-sale-628-waverley-st-palo-alto-ca-94301.jpg","628 Waverley St","","","Palo Alto, CA 94301","https://www.loopnet.com/Listing/628-Waverley-St-Palo-Alto-CA/38441348/","$4,295,000","5.87% Cap Rate","14 Unit Apartment Building","https://images1.loopnet.com/i2/omd-c8PRl8RwFzUutW7SBc0BRTYvpuS7wyskyRAxQ3w/105/image.png"
"https://www.loopnet.com/Listing/1815-Woodland-Ave-East-Palo-Alto-CA/38375117/","https://images1.loopnet.com/i2/YIGROk2FhbuS2sZKPjDKeSipMxN1c7D_RMab4YI1UBM/115/multifamily-property-for-sale-1815-woodland-ave-east-palo-alto-ca-94303.jpg","1815 Woodland Ave","1815-1817 Woodland Ave","https://www.loopnet.com/Listing/1815-Woodland-Ave-East-Palo-Alto-CA/38375117/","East Palo Alto, CA 94303","https://www.loopnet.com/Listing/1815-Woodland-Ave-East-Palo-Alto-CA/38375117/","$1,060,000","2.26% Cap Rate","2 Unit Apartment Building","https://images1.loopnet.com/i2/omd-c8PRl8RwFzUutW7SBc0BRTYvpuS7wyskyRAxQ3w/105/image.png"
"https://www.loopnet.com/Listing/1811-Woodland-Ave-East-Palo-Alto-CA/38375091/","https://images1.loopnet.com/i2/SxAh1eGpnqSP7vcRAvbawOlE3vgeFrY3sztPtfhEItU/115/multifamily-property-for-sale-1811-woodland-ave-east-palo-alto-ca-94303.jpg","1811 Woodland Ave","1811-1813 Woodland Ave","https://www.loopnet.com/Listing/1811-Woodland-Ave-East-Palo-Alto-CA/38375091/","East Palo Alto, CA 94303","https://www.loopnet.com/Listing/1811-Woodland-Ave-East-Palo-Alto-CA/38375091/","$1,060,000","3.21% Cap Rate","2 Unit Apartment Building","https://images1.loopnet.com/i2/omd-c8PRl8RwFzUutW7SBc0BRTYvpuS7wyskyRAxQ3w/105/image.png"
"https://www.loopnet.com/Listing/1730-Bay-Rd-Palo-Alto-CA/38310524/","https://images1.loopnet.com/i2/EB6czn9P-7oVEh1HeRf1wOG7KrLQrc_GNGL_DJX6Og8/115/multifamily-property-for-sale-1730-bay-rd-palo-alto-ca-94303.jpg","1730 Bay Rd","Courtyard at Bay Road","https://www.loopnet.com/Listing/1730-Bay-Rd-Palo-Alto-CA/38310524/","Palo Alto, CA 94303","https://www.loopnet.com/Listing/1730-Bay-Rd-Palo-Alto-CA/38310524/","$19,000,000","3.87% Cap Rate","78 Unit Apartment Building","https://images1.loopnet.com/i2/TEYQI1qm-L8wVTMKI8FjsHL2a2Oli65eRvDFgpK8cLg/105/image.jpg"
"https://www.loopnet.com/Listing/695-Oak-Grove-Ave-Menlo-Park-CA/38243997/","https://images1.loopnet.com/i2/1jBbWyWPkueVBwyAWlLhAcKNfKjPCkPJKgN_6BxewwA/115/medical-property-for-sale-695-oak-grove-ave-menlo-park-ca-94025.jpg","695 Oak Grove Ave","","","Menlo Park, CA 94025","https://www.loopnet.com/Listing/695-Oak-Grove-Ave-Menlo-Park-CA/38243997/","$2,495,000","1 Unit Available","1,722 SF Unit","https://images1.loopnet.com/i2/-OoYZWr-p7CN7g7x1yiQuy2DBKkKbPfGPmBQe_OpWVM/105/image.jpg"
"https://www.loopnet.com/Listing/2051-El-Camino-Real-Palo-Alto-CA/38068280/","https://images1.loopnet.com/i2/ivFEvTUa2im8NjckUdhr7IvRIUkpcShIMwz-2K5y3m0/115/office-property-for-sale-2051-el-camino-real-palo-alto-ca-94306.jpg","2051 El Camino Real","","","Palo Alto, CA 94306","https://www.loopnet.com/Listing/2051-El-Camino-Real-Palo-Alto-CA/38068280/","$4,100,000","4.60% Cap Rate","6,529 SF Office Building","https://images1.loopnet.com/i2/DRQoiAmPk-9bllVvbZ3y65Mceu7DGvKA5KmqsdTiwHw/105/image.jpg"
"https://www.loopnet.com/Listing/235-Alma-St-Palo-Alto-CA/37981258/","https://images1.loopnet.com/i2/-0wqfH9bhnQZqY889Axom4wGDg28AgRCE2DQJWDZFqc/115/office-property-for-sale-235-alma-st-palo-alto-ca-94301.jpg","235 Alma St","Back Bldg","https://www.loopnet.com/Listing/235-Alma-St-Palo-Alto-CA/37981258/","Palo Alto, CA 94301","https://www.loopnet.com/Listing/235-Alma-St-Palo-Alto-CA/37981258/","$5,798,000","3,940 SF Office Building","Built in 1904",""
"https://www.loopnet.com/Listing/3191-Middlefield-Rd-Palo-Alto-CA/37712509/","https://images1.loopnet.com/i2/hjlmMYXeduw2MLaNRO8zWLpFZ8ujBzd5_ZXyzEMDETI/115/land-property-for-sale-3191-middlefield-rd-palo-alto-ca-94306.jpg","3191 Middlefield Rd","Development Site","https://www.loopnet.com/Listing/3191-Middlefield-Rd-Palo-Alto-CA/37712509/","Palo Alto, CA 94306","https://www.loopnet.com/Listing/3191-Middlefield-Rd-Palo-Alto-CA/37712509/","$12,000,000","1 Commercial Lot","1.13 AC Lot","https://images1.loopnet.com/i2/53js0WhJTcCCLBPGHPZMVy0lKwkHCn2y1N3zlheanAo/105/image.png"
"https://www.loopnet.com/Listing/2083-Old-Middlefield-Way-Mountain-View-CA/37412586/","https://images1.loopnet.com/i2/uJQ1wZYPIhe3s-Z4DwJt3GPdHaqhVrs__Uu4PRissaA/115/office-property-for-sale-2083-old-middlefield-way-mountain-view-ca-94043.jpg","2083 Old Middlefield Way","NEW RARE Owner User Building! LARGE PARCEL!","https://www.loopnet.com/Listing/2083-Old-Middlefield-Way-Mountain-View-CA/37412586/","Mountain View, CA 94043","https://www.loopnet.com/Listing/2083-Old-Middlefield-Way-Mountain-View-CA/37412586/","$4,495,000","10,000 SF Office Building","Built in 1986","https://images1.loopnet.com/i2/AhEPMolXA5rL1krkswp0h9oaVREQoS_xzxscm9xqxpU/105/image.jpg"
