"placard-pseudo href","company-logo src","image-hide src","header-col","subtitle-beta","subtitle-beta href","data-points-2c","data-points-2c 2","data-points-2c 3","subtitle-alpha","subtitle-alpha href"
"https://www.loopnet.com/Listing/1532-Howard-St-San-Francisco-CA/38729368/","https://images1.loopnet.com/i2/5yTbgcLhsnnByY_OAAn2DygZwQLNGN3vPLx_ln2g3A8/105/image.jpg","https://images1.loopnet.com/i2/kvrj2lZA7_xUtog8jCfDPwCf62czf0722GtS4BBZGTA/115/multifamily-property-for-sale-1532-howard-st-san-francisco-ca-94103.jpg","1532 Howard St","San Francisco, CA 94103","https://www.loopnet.com/Listing/1532-Howard-St-San-Francisco-CA/38729368/","$4,895,000","15 Unit Apartment Building","8,225 SF","",""
"https://www.loopnet.com/Listing/480-Grant-Ave-San-Francisco-CA/38766618/","https://images1.loopnet.com/i2/QJIjx1zh5DIup3ZZZQVi9_wgzi4cXJmlyDZkaK65QaA/105/image.jpg","https://images1.loopnet.com/i2/rbSvai26yvyEvnGcYJFwTCK0qHyMBWkvHcTrSgiIfew/115/retail-property-for-sale-480-grant-ave-san-francisco-ca-94108.jpg","480 Grant Ave","San Francisco, CA 94108","https://www.loopnet.com/Listing/480-Grant-Ave-San-Francisco-CA/38766618/","$5,200,000","13,950 SF Retail Building","Built in 1921","",""
"https://www.loopnet.com/Listing/3489-3499-Mission-St-San-Francisco-CA/38698854/","https://images1.loopnet.com/i2/tVTPfr82vMU4Qh6ZzFl03Y8nk6MMyqGTCUkiXVtOia8/105/image.png","https://images1.loopnet.com/i2/VGAvMOWuZL2xLY1-LMJhtpdyLNrlH8fX72K7xDFiFO8/115/retail-property-for-sale-3489-3499-mission-st-san-francisco-ca-94110.jpg","3489-3499 Mission St","San Francisco, CA 94110","https://www.loopnet.com/Listing/3489-3499-Mission-St-San-Francisco-CA/38698854/","$2,350,000","2,804 SF Retail Building","Built in 1900","",""
"https://www.loopnet.com/Listing/135-N-Willard-St-San-Francisco-CA/38695056/","https://images1.loopnet.com/i2/AkDe-FU_dZ3WmFkhzaoPLPZGk-aIjquhAUOb1fu5Irk/105/image.png","https://images1.loopnet.com/i2/O1mNAolm2sBwAV7QWVjYlCCgZ_j1SI9cOsEyRRY33qU/115/multifamily-property-for-sale-135-n-willard-st-san-francisco-ca-94118.jpg","135 N Willard St","San Francisco, CA 94118","https://www.loopnet.com/Listing/135-N-Willard-St-San-Francisco-CA/38695056/","$3,500,000","4.24% Cap Rate","6 Unit Apartment Building","",""
"https://www.loopnet.com/Listing/1555-Yosemite-Ave-San-Francisco-CA/38689311/","https://images1.loopnet.com/i2/FPrDeLksGT1a1b7FU9_0bZe33BIRJyOkCyLKC_p1Xnw/105/image.jpg","https://images1.loopnet.com/i2/edGH8LxD3AgYLILAVMkxsvZo1h4Qwgdq9v632SiE_jQ/115/industrial-property-for-sale-1555-yosemite-ave-san-francisco-ca-94124.jpg","1555 Yosemite Ave","San Francisco, CA 94124","https://www.loopnet.com/Listing/1555-Yosemite-Ave-San-Francisco-CA/38689311/","$575,000","1 Unit Available","911 SF Unit","",""
"https://www.loopnet.com/Listing/1501-Howard-St-San-Francisco-CA/38674187/","https://images1.loopnet.com/i2/LEp4skL55nHSw-Mw-aPkCc8jvjVOOdsFjRYWqlbSqRI/105/image.jpg","https://images1.loopnet.com/i2/wVhAXZPqMBu08Ez6QljHi1foqOJH7y0ICoCUwNVM2V0/115/industrial-property-for-sale-1501-howard-st-san-francisco-ca-94103.jpg","1501 Howard St","San Francisco, CA 94103","https://www.loopnet.com/Listing/1501-Howard-St-San-Francisco-CA/38674187/","$2,500,000","7,905 SF Industrial Building","Built in 1962","Commercial Flex Space Building","https://www.loopnet.com/Listing/1501-Howard-St-San-Francisco-CA/38674187/"
"https://www.loopnet.com/Listing/3260-26th-St-San-Francisco-CA/38672768/","https://images1.loopnet.com/i2/t1CKMhP0xnh4a7vP5PvvUqRGsz-2zFk1PVeMchh556k/105/image.png","https://images1.loopnet.com/i2/_GOjRBJ-hgzasu9NfkRZHhWpy13UrewS6HXq8TcOJaI/115/land-property-for-sale-3260-26th-st-san-francisco-ca-94110.jpg","3260 26th St","San Francisco, CA 94110","https://www.loopnet.com/Listing/3260-26th-St-San-Francisco-CA/38672768/","$9,499,999","1 Commercial Lot","0.17 AC Lot","",""
"https://www.loopnet.com/Listing/700-Baker-St-San-Francisco-CA/38658059/","https://images1.loopnet.com/i2/W5oC_bJ5d2p7F1ds7dZglWeYNcjMGCmAY5zyA3rWLS8/105/image.jpg","https://images1.loopnet.com/i2/HCmc_xKLMgqxBO4_PWqrbEqBBJNGrPqGfpWkDP_q0sg/115/multifamily-property-for-sale-700-baker-st-san-francisco-ca-94115.jpg","700 Baker St","San Francisco, CA 94115","https://www.loopnet.com/Listing/700-Baker-St-San-Francisco-CA/38658059/","$3,375,000","5.65% Cap Rate","6 Unit Apartment Building","",""
"https://www.loopnet.com/Listing/1441-Bush-St-San-Francisco-CA/38646989/","https://images1.loopnet.com/i2/QJIjx1zh5DIup3ZZZQVi9_wgzi4cXJmlyDZkaK65QaA/105/image.jpg","https://images1.loopnet.com/i2/tEjGw8nHqcbPDEpb99GDr2gwkf5K1e5BlPIV-vdDhm0/115/retail-property-for-sale-1441-bush-st-san-francisco-ca-94109.jpg","1441 Bush St","San Francisco, CA 94109","https://www.loopnet.com/Listing/1441-Bush-St-San-Francisco-CA/38646989/","$1,795,000","3,712 SF Retail Building","Built in 1914","",""
"https://www.loopnet.com/Listing/3318-3320-22nd-St-San-Francisco-CA/38627409/","https://images1.loopnet.com/i2/W5oC_bJ5d2p7F1ds7dZglWeYNcjMGCmAY5zyA3rWLS8/105/image.jpg","https://images1.loopnet.com/i2/YRfWaBnr_gYn5SsaGMtjTQhJFAzZzKmP83tF-T3ZesA/115/multifamily-property-for-sale-3318-3320-22nd-st-san-francisco-ca-94110.jpg","3318-3320 22nd St","San Francisco, CA 94110","https://www.loopnet.com/Listing/3318-3320-22nd-St-San-Francisco-CA/38627409/","$3,375,000","5.73% Cap Rate","4 Unit Apartment Building","",""
"https://www.loopnet.com/Listing/1-5-Lowell-St-San-Francisco-CA/38624844/","https://images1.loopnet.com/i2/mn0WxN8tnpXKtRiuQ7UACPA-mQhvFUkRVWzeXu71Sos/105/image.jpg","https://images1.loopnet.com/i2/8QinZe-YhbECH_VRyvloZRMPhcKzoYMv0WM_66kvpyY/115/multifamily-property-for-sale-1-5-lowell-st-san-francisco-ca-94112.jpg","1-5 Lowell St","San Francisco, CA 94112","https://www.loopnet.com/Listing/1-5-Lowell-St-San-Francisco-CA/38624844/","$2,150,000","5.60% Cap Rate","8 Unit Apartment Building","",""
"https://www.loopnet.com/Listing/2391-2393-Mission-St-San-Francisco-CA/38609913/","https://images1.loopnet.com/i2/9nLcGwPL_1ND21xRIUcKl2JIRaWQOU0Pov3C5dctk0o/105/image.jpg","https://images1.loopnet.com/i2/BnSRarUJ1arVzwvRmX23WRapEk_boak766CeJmSTD8w/115/multifamily-property-for-sale-2391-2393-mission-st-san-francisco-ca-94110.jpg","2391-2393 Mission St","San Francisco, CA 94110","https://www.loopnet.com/Listing/2391-2393-Mission-St-San-Francisco-CA/38609913/","$1,248,000","6.61% Cap Rate","3 Unit Apartment Building","",""
