Listing URL,Thumbnail URL,Broker Logo URL,Address,Headline,Location,Price,Cap Rate,Building Category,Square Footage
https://www.loopnet.com/Listing/660-Roble-Ave-Menlo-Park-CA/38034227/,https://images1.loopnet.com/i2/Tsh4bDBpK_t-X1UfKY_4KRG85YFiG8D8NM_JTfAsdKQ/117/multifamily-property-for-sale-660-roble-ave-menlo-park-ca-94025.jpg,,,,,,,,
https://www.loopnet.com/Listing/Aptos-Village/36289127/,https://images1.loopnet.com/i2/jJp8KjTIrX4feJFaTh2Pi2ePP3nNMokR_lTG2PdDVDA/117/aptos-village-retail-property-for-sale-aptos-ca.jpg,,,,,,,,
https://www.loopnet.com/Listing/2601-2605-High-St-Oakland-CA/37262179/,https://images1.loopnet.com/i2/aPUdMHJrmIkr2GaWcfvrDVEVRKZjkMF5hDmZ3oV9DoQ/115/multifamily-property-for-sale-2601-2605-high-st-oakland-ca-94619.jpg,https://images1.loopnet.com/i2/p24pPVoB0rl6J3I5SryZu4b5LmqV37Z242_yCykJBUU/105/image.jpg,2601-2605 High St,Back On Market | 8.24% CAP | 15 UNITS,"Oakland, CA 94619","$2,000,000",8.24% Cap Rate,11 Unit Apartment Building,
https://www.loopnet.com/Listing/1532-Howard-St-San-Francisco-CA/38729368/,https://images1.loopnet.com/i2/kvrj2lZA7_xUtog8jCfDPwCf62czf0722GtS4BBZGTA/115/multifamily-property-for-sale-1532-howard-st-san-francisco-ca-94103.jpg,https://images1.loopnet.com/i2/5yTbgcLhsnnByY_OAAn2DygZwQLNGN3vPLx_ln2g3A8/105/image.jpg,1532 Howard St,,"San Francisco, CA 94103","$4,895,000",,15 Unit Apartment Building,"8,225 SF"
https://www.loopnet.com/Listing/1550-Crucero-Dr-San-Jose-CA/38058217/,https://images1.loopnet.com/i2/-8HnoQ1kQHpv-JfG3naV3lutEssQ8SFLCJHoYBWdnf4/115/multifamily-property-for-sale-1550-crucero-dr-san-jose-ca-95122.jpg,https://images1.loopnet.com/i2/QJIjx1zh5DIup3ZZZQVi9_wgzi4cXJmlyDZkaK65QaA/105/image.jpg,1550 Crucero Dr,,"San Jose, CA 95122","$1,425,000",4.56% Cap Rate,4 Unit Apartment Building,
https://www.loopnet.com/Listing/2811-F-St-Sacramento-CA/36787721/,https://images1.loopnet.com/i2/y1_3HutCCN6qlDDPY6XsLS0bncU30zskelFIPzT4lWM/115/multifamily-property-for-sale-2811-f-st-sacramento-ca-95816.jpg,https://images1.loopnet.com/i2/Usjbs_FewjQxtGbLIAYJ2ENxwFq0FTPoyvELoDFrGxk/105/image.png,2811 F St,Rio Terrace Apartments,"Sacramento, CA 95816","$5,875,000",5.90% Cap Rate,29 Unit Apartment Building,
https://www.loopnet.com/Listing/14-S-Union-St-Stockton-CA/38865944/,https://images1.loopnet.com/i2/Y72fd1xyxpH0Ubk3-tPU5Ih-dBATsUWEFFOYeqFOfSk/115/multifamily-property-for-sale-14-s-union-st-stockton-ca-95205.jpg,https://images1.loopnet.com/i2/3_OnbZemvIPBEHi4sKQA3YZ4HKBtF5g11Gx1XnqYdo0/105/image.jpg,14 S Union St,Hard to Find Duplex For Sale,"Stockton, CA 95205","$424,900",,2 Unit Apartment Building,"2,765 SF"
https://www.loopnet.com/Listing/106-Sebastopol-Ave-Santa-Rosa-CA/38849678/,https://images1.loopnet.com/i2/Vu5nT_jpVVYZfy3NmJpiwwvwerm3f5HNMyeUTqDEB0U/115/multifamily-property-for-sale-106-sebastopol-ave-santa-rosa-ca-95407.jpg,https://images1.loopnet.com/i2/cfHjWHZ47oNvC-miqv-WJnEO_I6xv0KnQTn6Ep0bJf4/105/image.jpg,106 Sebastopol Ave,,"Santa Rosa, CA 95407","$898,000",7.33% Cap Rate,7 Unit Apartment Building,
https://www.loopnet.com/Listing/986-Kains-Ave-Albany-CA/38846191/,https://images1.loopnet.com/i2/wskoLtRIQBJEjM_20H0drzv7SIhzok1pJurMkCZ-kGA/115/multifamily-property-for-sale-986-kains-ave-albany-ca-94706.jpg,https://images1.loopnet.com/i2/tv7G542ZCfbVNRlzejnmluithlt3fk09E7PN0pTZvlQ/105/image.jpg,986 Kains Ave,,"Albany, CA 94706","$2,350,000",4.45% Cap Rate,5 Unit Apartment Building,
https://www.loopnet.com/Listing/3911-Watt-Ave-Sacramento-CA/38830425/,https://images1.loopnet.com/i2/9lcaMDJ6nALBfqlQ7LffQxTk6w7ZDAlaaqhpcJNE2p4/115/multifamily-property-for-sale-3911-watt-ave-sacramento-ca-95821.jpg,https://images1.loopnet.com/i2/kRWA1RlC6K6i5jdUANbYp_oVKwUeo94aVnvWLm9gTrA/105/image.png,3911 Watt Ave,Palm Apartments,"Sacramento, CA 95821","$1,998,000",5.82% Cap Rate,11 Unit Apartment Building,
